Class Name;ATFD;CBO;DAC;DIT;LCOM;MPC;NCSS;NOAC;NOAM;NOA;SIZE2;NOC;NOM;NOO;NOOM;NOPA;RFC;TCC;WOC;WMC
com.amaze.filemanager.filesystem.files.FileUtils;3;52;1;1;18;346;461;0;50;5;67;0;50;62;0;0;208;0.0335;1.0;168
com.amaze.filemanager.filesystem.files.GenericCopyUtil;6;18;6;1;1;123;125;0;8;8;29;0;9;21;0;0;74;0.1429;1.0;56
com.amaze.filemanager.filesystem.ssh.SshClientUtils;1;20;1;1;2;85;93;0;12;1;25;0;12;24;0;0;67;0.3939;1.0;43
com.amaze.filemanager.filesystem.ssh.Statvfs;2;1;1;1;1;55;1;0;1;1;14;0;1;13;0;0;7;0.0;1.0;1
com.amaze.filemanager.filesystem.ssh.Statvfs.Response;2;1;2;1;3;55;24;1;5;13;32;0;7;19;1;12;21;0.2;0.8;8
com.amaze.filemanager.ui.ColorCircleDrawable;3;1;1;2;2;12;10;0;4;2;84;0;6;91;1;0;19;0.4;1.0;6
com.amaze.filemanager.ui.ItemPopupMenu;4;24;6;2;1;66;99;0;1;7;36;0;2;29;0;0;48;0.0;1.0;23
com.amaze.filemanager.ui.activities.AboutActivity;13;14;6;12;2;96;109;0;3;145;771;0;6;735;3;0;64;0.4667;1.0;29
com.amaze.filemanager.ui.activities.DatabaseViewerActivity;7;10;8;12;1;63;65;0;2;135;761;0;7;735;5;2;60;0.7143;1.0;17
com.amaze.filemanager.ui.activities.MainActivity;5;111;24;13;6;41;1181;5;61;195;907;0;75;824;14;12;524;0.1344;0.9333;348
com.amaze.filemanager.ui.activities.MainActivity.FabActionListener;3;8;2;1;1;15;17;0;1;2;17;N/A;2;15;0;0;14;0.0;1.0;5
com.amaze.filemanager.ui.activities.PreferencesActivity;15;20;3;12;4;98;132;1;12;137;774;0;16;746;4;0;86;0.225;0.9375;45
com.amaze.filemanager.ui.activities.superclasses.BasicActivity;2;29;0;9;1;9;4;0;4;125;728;1;4;711;0;0;8;0.0;1.0;4
