Lines of code metrics,Thu., 14 Oct. 2021 19:19:04 EDT,,,,,,,,,,,,,
Method,CLOC,JLOC,LOC,NCLOC,RLOC,,,,,,,,,,
com.amaze.filemanager.asynchronous.asynctasks.CountItemsOrAndSizeTask.doInBackground(Void[]),1,0,30,30,51.72%,,,,,,,,,,
"com.amaze.filemanager.asynchronous.asynctasks.CountItemsOrAndSizeTask.getText(int,long,boolean)",0,0,6,6,10.34%,,,,,,,,,,
com.amaze.filemanager.asynchronous.asynctasks.CountItemsOrAndSizeTask.onPostExecute(String),0,0,3,3,5.17%,,,,,,,,,,
"com.amaze.filemanager.asynchronous.asynctasks.CountItemsOrAndSizeTask.onProgressUpdate(Pair<Integer, Long>[])",0,0,5,5,8.62%,,,,,,,,,,
"com.amaze.filemanager.asynchronous.asynctasks.DbViewerTask.DbViewerTask(Cursor,Cursor,WebView,DbViewerFragment)",0,0,12,12,9.76%,,,,,,,,,,
com.amaze.filemanager.asynchronous.asynctasks.DbViewerTask.doInBackground(Void...),0,0,6,6,4.88%,,,,,,,,,,
com.amaze.filemanager.asynchronous.asynctasks.DbViewerTask.getDbTableDetails(Cursor),7,0,42,35,34.15%,,,,,,,,,,
com.amaze.filemanager.asynchronous.asynctasks.DbViewerTask.getDbTableSchema(Cursor),0,0,9,9,7.32%,,,,,,,,,,
com.amaze.filemanager.asynchronous.asynctasks.DbViewerTask.onCancelled(),0,0,5,5,4.07%,,,,,,,,,,
com.amaze.filemanager.asynchronous.asynctasks.DbViewerTask.onPostExecute(Void),2,0,22,20,17.89%,,,,,,,,,,
com.amaze.filemanager.asynchronous.asynctasks.DbViewerTask.onPreExecute(),0,0,12,12,9.76%,,,,,,,,,,
com.amaze.filemanager.asynchronous.asynctasks.DbViewerTask.onProgressUpdate(Integer...),0,0,5,5,4.07%,,,,,,,,,,
com.amaze.filemanager.asynchronous.asynctasks.DbViewerTaskTest.setUp(),0,0,4,4,4.30%,,,,,,,,,,
com.amaze.filemanager.asynchronous.asynctasks.DbViewerTaskTest.tearDown(),0,0,4,4,4.30%,,,,,,,,,,
com.amaze.filemanager.asynchronous.asynctasks.DbViewerTaskTest.testCompleteTask(),0,0,29,29,31.18%,,,,,,,,,,
com.amaze.filemanager.asynchronous.asynctasks.DbViewerTaskTest.testExecute(),2,0,23,21,24.73%,,,,,,,,,,
com.amaze.filemanager.asynchronous.asynctasks.DbViewerTaskTest.testOnPreExecute(),0,0,26,26,27.96%,,,,,,,,,,
com.amaze.filemanager.asynchronous.asynctasks.DeleteTask.DeleteTask(Context),0,0,6,6,4.84%,,,,,,,,,,
"com.amaze.filemanager.asynchronous.asynctasks.DeleteTask.DeleteTask(Context,CompressedExplorerFragment)",0,0,8,8,6.45%,,,,,,,,,,
"com.amaze.filemanager.asynchronous.asynctasks.DeleteTask.deleteFromMediaDatabase(Context,String)",1,0,8,7,6.45%,,,,,,,,,,
com.amaze.filemanager.asynchronous.asynctasks.DeleteTask.doDeleteFile(HybridFileParcelable),0,0,36,36,29.03%,,,,,,,,,,
com.amaze.filemanager.asynchronous.asynctasks.DeleteTask.doInBackground(ArrayList<HybridFileParcelable>...),2,0,30,28,24.19%,,,,,,,,,,
