Lines of code metrics,Thu., 14 Oct. 2021 19:19:04 EDT,,,,,,,,,,,,,
Method,CLOC,JLOC,LOC,NCLOC,RLOC,,,,,,,,,,
"com.amaze.filemanager.ui.fragments.AppsListFragment.updateViews(MainActivity,UtilitiesProvider)",0,0,23,23,11.98%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.CloudSheetFragment.CloudConnectionCallbacks.addConnection(OpenMode),0,n/a,n/a,1,25.00%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.CloudSheetFragment.CloudConnectionCallbacks.deleteConnection(OpenMode),0,n/a,n/a,1,25.00%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.CloudSheetFragment.isCloudProviderAvailable(Context),1,1,10,9,8.00%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.CloudSheetFragment.onClick(View),1,0,43,42,34.40%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.CloudSheetFragment.onCreate(Bundle),0,0,4,4,3.20%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.CloudSheetFragment.onCreateDialog(Bundle),0,0,13,13,10.40%,,,,,,,,,,
"com.amaze.filemanager.ui.fragments.CloudSheetFragment.setupDialog(Dialog,int)",0,0,35,35,28.00%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.CloudSheetFragmentTest.testIsCloudProviderAvailable(),0,0,10,10,71.43%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.DbViewerFragment.onActivityCreated(Bundle),0,0,14,14,29.17%,,,,,,,,,,
"com.amaze.filemanager.ui.fragments.DbViewerFragment.onCreateView(LayoutInflater,ViewGroup,Bundle)",0,0,18,18,37.50%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.DbViewerFragment.onDetach(),0,0,6,6,12.50%,,,,,,,,,,
"com.amaze.filemanager.ui.fragments.MainFragment.addSearchResult(HybridFileParcelable,String)",4,0,33,29,1.91%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.MainFragment.addShortcut(LayoutElementParcelable),3,0,27,24,1.57%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.MainFragment.addTo(HybridFileParcelable),2,0,62,60,3.60%,,,,,,,,,,
"com.amaze.filemanager.ui.fragments.MainFragment.addToSmb(SmbFile[],String,boolean)",0,0,63,63,3.65%,,,,,,,,,,
"com.amaze.filemanager.ui.fragments.MainFragment.adjustListViewForTv(ItemViewHolder,MainActivity)",0,0,18,18,1.04%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.MainFragment.changePath(String),0,0,4,4,0.23%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.MainFragment.computeScroll(),0,0,11,11,0.64%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.MainFragment.disableActionMode(),0,0,7,7,0.41%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.MainFragment.getBackElement(),0,0,11,11,0.64%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.MainFragment.getBoolean(String),0,0,3,3,0.17%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.MainFragment.getCurrentPath(),0,0,8,8,0.46%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.MainFragment.getElementsList(),0,0,4,4,0.23%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.MainFragment.getMainActivity(),0,0,4,4,0.23%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.MainFragment.getMainFragmentViewModel(),0,0,8,8,0.46%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.MainFragment.getPath(),0,0,4,4,0.23%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.MainFragment.getRootDrawable(),0,0,4,4,0.23%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.MainFragment.goBack(),8,0,119,111,6.90%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.MainFragment.goBackItemClick(),0,0,35,35,2.03%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.MainFragment.hide(String),0,0,20,20,1.16%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.MainFragment.home(),0,0,3,3,0.17%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.MainFragment.initNoFileLayout(),0,0,35,35,2.03%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.MainFragment.initTopAndEmptyAreaDragListeners(boolean),0,0,25,25,1.45%,,,,,,,,,,
"com.amaze.filemanager.ui.fragments.MainFragment.launchSMB(HybridFileParcelable,Activity)",9,0,44,36,2.55%,,,,,,,,,,
"com.amaze.filemanager.ui.fragments.MainFragment.loadPathInQ(String,String,OpenMode)",0,0,39,39,2.26%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.MainFragment.loadViews(),0,0,19,19,1.10%,,,,,,,,,,
"com.amaze.filemanager.ui.fragments.MainFragment.loadlist(String,boolean,OpenMode)",6,7,53,44,3.07%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.MainFragment.onCreate(Bundle),0,0,18,18,1.04%,,,,,,,,,,
"com.amaze.filemanager.ui.fragments.MainFragment.onCreateView(LayoutInflater,ViewGroup,Bundle)",0,0,6,6,0.35%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.MainFragment.onDestroy(),2,0,6,4,0.35%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.MainFragment.onDetach(),0,0,4,4,0.23%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.MainFragment.onGlobalLayout(),0,0,22,22,1.28%,,,,,,,,,,
"com.amaze.filemanager.ui.fragments.MainFragment.onListItemClicked(boolean,int,LayoutElementParcelable,ImageView)",10,8,133,119,7.71%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.MainFragment.onPause(),0,0,11,11,0.64%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.MainFragment.onResume(),0,0,8,8,0.46%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.MainFragment.onSearchCompleted(String),3,0,33,31,1.91%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.MainFragment.onSearchPreExecute(String),1,0,8,7,0.46%,,,,,,,,,,
"com.amaze.filemanager.ui.fragments.MainFragment.onViewCreated(View,Bundle)",7,0,69,62,4.00%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.MainFragment.reauthenticateSmb(),0,0,24,24,1.39%,,,,,,,,,,
"com.amaze.filemanager.ui.fragments.MainFragment.reloadListElements(boolean,boolean,boolean)",1,0,104,103,6.03%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.MainFragment.rename(HybridFileParcelable),7,5,51,43,2.96%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.MainFragment.requireMainActivity(),0,0,4,4,0.23%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.MainFragment.resumeDecryptOperations(),5,4,17,12,0.99%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.MainFragment.returnIntentResults(HybridFileParcelable),4,4,26,22,1.51%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.MainFragment.setGridLayoutSpanSizeLookup(GridLayoutManager),0,0,18,18,1.04%,,,,,,,,,,
"com.amaze.filemanager.ui.fragments.MainFragment.setListElements(ArrayList<LayoutElementParcelable>,boolean,String,OpenMode,boolean,boolean)",6,10,28,16,1.62%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.MainFragment.smoothScrollListView(boolean),0,0,9,9,0.52%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.MainFragment.startFileObserver(),1,0,29,28,1.68%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.MainFragment.stopAnimation(),0,0,9,9,0.52%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.MainFragment.stopSmoothScrollListView(),0,0,5,5,0.29%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.MainFragment.switchToGrid(),1,0,17,16,0.99%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.MainFragment.switchToList(),0,0,10,10,0.58%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.MainFragment.switchView(),0,0,7,7,0.41%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.MainFragment.updateList(),0,0,4,4,0.23%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.MainFragment.updateTabWithDb(Tab),0,0,5,5,0.29%,,,,,,,,,,
"com.amaze.filemanager.ui.fragments.ProcessViewerFragment.CustomServiceConnection.CustomServiceConnection(ProcessViewerFragment,LineChart,int)",0,0,6,6,15.00%,,,,,,,,,,
"com.amaze.filemanager.ui.fragments.ProcessViewerFragment.CustomServiceConnection.onServiceConnected(ComponentName,IBinder)",2,0,27,25,67.50%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.ProcessViewerFragment.CustomServiceConnection.onServiceDisconnected(ComponentName),0,0,2,2,5.00%,,,,,,,,,,
"com.amaze.filemanager.ui.fragments.ProcessViewerFragment.addEntry(float,float)",5,6,17,11,4.97%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.ProcessViewerFragment.cancelBroadcast(Intent),1,1,17,16,4.97%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.ProcessViewerFragment.chartInit(long),5,5,26,20,7.60%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.ProcessViewerFragment.createDataSet(),1,1,13,12,3.80%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.ProcessViewerFragment.onActivityCreated(Bundle),0,0,14,14,4.09%,,,,,,,,,,
"com.amaze.filemanager.ui.fragments.ProcessViewerFragment.onCreateView(LayoutInflater,ViewGroup,Bundle)",0,0,32,32,9.36%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.ProcessViewerFragment.onPause(),0,0,9,9,2.63%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.ProcessViewerFragment.onResume(),0,0,14,14,4.09%,,,,,,,,,,
"com.amaze.filemanager.ui.fragments.ProcessViewerFragment.processResults(DatapointParcelable,int)",2,0,64,62,18.71%,,,,,,,,,,
"com.amaze.filemanager.ui.fragments.ProcessViewerFragment.setupDrawables(int,boolean)",1,1,64,63,18.71%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.SearchWorkerFragment.HelperCallbacks.onCancelled(),0,n/a,n/a,1,14.29%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.SearchWorkerFragment.HelperCallbacks.onPostExecute(String),0,n/a,n/a,1,14.29%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.SearchWorkerFragment.HelperCallbacks.onPreExecute(String),0,n/a,n/a,1,14.29%,,,,,,,,,,
"com.amaze.filemanager.ui.fragments.SearchWorkerFragment.HelperCallbacks.onProgressUpdate(HybridFileParcelable,String)",0,n/a,n/a,1,14.29%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.SearchWorkerFragment.onActivityCreated(Bundle),0,0,5,5,8.93%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.SearchWorkerFragment.onAttach(Context),1,0,6,5,10.71%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.SearchWorkerFragment.onCreate(Bundle),0,0,16,16,28.57%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.SearchWorkerFragment.onDetach(),1,0,6,5,10.71%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.TabFragment.ScreenSlidePagerAdapter.ScreenSlidePagerAdapter(FragmentManager),0,0,3,3,14.29%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.TabFragment.ScreenSlidePagerAdapter.getCount(),1,0,4,3,19.05%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.TabFragment.ScreenSlidePagerAdapter.getItem(int),0,0,6,6,28.57%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.TabFragment.ScreenSlidePagerAdapter.getItemPosition(Object),0,0,6,6,28.57%,,,,,,,,,,
"com.amaze.filemanager.ui.fragments.TabFragment.addNewTab(int,String,boolean)",0,0,3,3,0.81%,,,,,,,,,,
"com.amaze.filemanager.ui.fragments.TabFragment.addTab(Tab,String,boolean)",1,0,19,18,5.12%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.TabFragment.getCurrentTabFragment(),0,0,4,4,1.08%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.TabFragment.getDragPlaceholder(),0,0,3,3,0.81%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.TabFragment.getFragmentAtIndex(int),0,0,4,4,1.08%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.TabFragment.initLeftAndRightDragListeners(boolean),0,0,39,39,10.51%,,,,,,,,,,
"com.amaze.filemanager.ui.fragments.TabFragment.initLeftRightAndTopDragListeners(boolean,boolean)",0,0,11,11,2.96%,,,,,,,,,,
"com.amaze.filemanager.ui.fragments.TabFragment.onCreateView(LayoutInflater,ViewGroup,Bundle)",7,0,69,62,18.60%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.TabFragment.onDestroyView(),1,0,9,9,2.43%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.TabFragment.onPageScrollStateChanged(int),1,0,4,3,1.08%,,,,,,,,,,
"com.amaze.filemanager.ui.fragments.TabFragment.onPageScrolled(int,float,int)",2,0,13,12,3.50%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.TabFragment.onPageSelected(int),2,0,28,26,7.55%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.TabFragment.onSaveInstanceState(Bundle),0,0,20,20,5.39%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.TabFragment.refactorDrawerStorages(boolean),7,6,45,38,12.13%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.TabFragment.updateBottomBar(MainFragment),0,0,17,17,4.58%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.TabFragment.updateIndicator(int),1,0,7,6,1.89%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.TabFragment.updatepaths(int),1,0,30,29,8.09%,,,,,,,,,,
"com.amaze.filemanager.ui.fragments.preference_fragments.PrefFrag.onCreatePreferences(Bundle,String)",5,0,71,66,21.13%,,,,,,,,,,
"com.amaze.filemanager.ui.fragments.preference_fragments.PrefFrag.onCreateView(LayoutInflater,ViewGroup,Bundle)",1,1,8,7,2.38%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.preference_fragments.PrefFrag.onPause(),1,1,9,8,2.68%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.preference_fragments.PrefFrag.onPreferenceClick(Preference),6,0,205,199,61.01%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.preference_fragments.PrefFrag.onResume(),1,1,12,11,3.57%,,,,,,,,,,
com.amaze.filemanager.ui.fragments.preference_fragments.PrefFrag.restartPC(Activity),0,0,9,9,2.68%,,,,,,,,,,
"com.amaze.filemanager.ui.icons.Icons.checkType(String,String)",0,0,3,3,1.41%,,,,,,,,,,
"com.amaze.filemanager.ui.icons.Icons.getTypeOfFile(String,boolean)",0,0,14,14,6.57%,,,,,,,,,,
"com.amaze.filemanager.ui.icons.Icons.loadMimeIcon(String,boolean)",1,0,32,32,15.02%,,,,,,,,,,
"com.amaze.filemanager.ui.icons.Icons.put(String,int)",0,0,5,5,2.35%,,,,,,,,,,
"com.amaze.filemanager.ui.icons.Icons.putKeys(int,String...)",0,0,5,5,2.35%,,,,,,,,,,
com.amaze.filemanager.ui.icons.IconsTest.setUp(),1,0,8,7,33.33%,,,,,,,,,,
com.amaze.filemanager.ui.icons.IconsTest.testReturnArchiveTypes(),0,0,10,10,41.67%,,,,,,,,,,
com.amaze.filemanager.ui.icons.MimeTypes.getExtension(String),5,7,12,5,10.00%,,,,,,,,,,
"com.amaze.filemanager.ui.icons.MimeTypes.getMimeType(String,boolean)",5,6,24,17,20.00%,,,,,,,,,,
"com.amaze.filemanager.ui.icons.MimeTypes.mimeTypeMatch(String,String)",0,0,3,3,2.50%,,,,,,,,,,
"com.amaze.filemanager.ui.notifications.FtpNotification.buildNotification(Context,int,String,boolean)",0,0,28,28,37.33%,,,,,,,,,,
com.amaze.filemanager.ui.notifications.FtpNotification.removeNotification(Context),0,0,5,5,6.67%,,,,,,,,,,
"com.amaze.filemanager.ui.notifications.FtpNotification.startNotification(Context,boolean)",0,0,9,9,12.00%,,,,,,,,,,
"com.amaze.filemanager.ui.notifications.FtpNotification.updateNotification(Context,boolean)",0,0,26,26,34.67%,,,,,,,,,,
com.amaze.filemanager.ui.notifications.NotificationConstants.createFtpChannel(Context),5,4,19,14,20.65%,,,,,,,,,,
com.amaze.filemanager.ui.notifications.NotificationConstants.createNormalChannel(Context),5,4,19,14,20.65%,,,,,,,,,,
"com.amaze.filemanager.ui.notifications.NotificationConstants.setMetadata(Context,Builder,int)",3,3,40,37,43.48%,,,,,,,,,,
com.amaze.filemanager.ui.notifications.NotificationConstantsTest.setUp(),0,0,7,7,6.93%,,,,,,,,,,
com.amaze.filemanager.ui.notifications.NotificationConstantsTest.tearDown(),0,0,4,4,3.96%,,,,,,,,,,
com.amaze.filemanager.ui.notifications.NotificationConstantsTest.testCreateFtpChannel(),1,0,14,14,13.86%,,,,,,,,,,
com.amaze.filemanager.ui.notifications.NotificationConstantsTest.testCreateNormalChannel(),1,0,14,14,13.86%,,,,,,,,,,
com.amaze.filemanager.ui.notifications.NotificationConstantsTest.testFtpNotification(),1,0,23,23,22.77%,,,,,,,,,,
com.amaze.filemanager.ui.notifications.NotificationConstantsTest.testNormalNotification(),1,0,21,21,20.79%,,,,,,,,,,
com.amaze.filemanager.ui.notifications.NotificationConstantsTest.testSetMetadataIllegalType(),0,0,11,11,10.89%,,,,,,,,,,
com.amaze.filemanager.ui.provider.UtilitiesProvider.UtilitiesProvider(Context),0,0,10,10,41.67%,,,,,,,,,,
com.amaze.filemanager.ui.provider.UtilitiesProvider.getAppTheme(),0,0,3,3,12.50%,,,,,,,,,,
com.amaze.filemanager.ui.provider.UtilitiesProvider.getColorPreference(),0,0,3,3,12.50%,,,,,,,,,,
com.amaze.filemanager.ui.provider.UtilitiesProvider.getThemeManager(),0,0,3,3,12.50%,,,,,,,,,,
com.amaze.filemanager.ui.strings.StorageNamingHelper.StorageNamingHelper(),0,0,1,1,5.00%,,,,,,,,,,
"com.amaze.filemanager.ui.strings.StorageNamingHelper.getNameForDeviceDescription(Context,File,int)",0,0,17,17,85.00%,,,,,,,,,,
com.amaze.filemanager.ui.theme.AppTheme.AppTheme(int),0,0,3,3,3.16%,,,,,,,,,,
com.amaze.filemanager.ui.theme.AppTheme.getId(),0,0,3,3,3.16%,,,,,,,,,,
com.amaze.filemanager.ui.theme.AppTheme.getMaterialDialogTheme(Context),0,0,19,19,20.00%,,,,,,,,,,
com.amaze.filemanager.ui.theme.AppTheme.getSimpleTheme(Context),4,5,8,3,8.42%,,,,,,,,,,
com.amaze.filemanager.ui.theme.AppTheme.getSimpleTheme(boolean),0,0,20,20,21.05%,,,,,,,,,,
"com.amaze.filemanager.ui.theme.AppTheme.getTheme(Context,int)",4,6,9,3,9.47%,,,,,,,,,,
"com.amaze.filemanager.ui.theme.AppTheme.getTheme(boolean,int)",0,0,15,15,15.79%,,,,,,,,,,
com.amaze.filemanager.ui.theme.AppTheme.isNightMode(Context),0,0,4,4,4.21%,,,,,,,,,,
"com.amaze.filemanager.ui.theme.AppThemeManager.AppThemeManager(SharedPreferences,boolean)",0,0,7,7,25.93%,,,,,,,,,,
com.amaze.filemanager.ui.theme.AppThemeManager.getAppTheme(),1,1,4,3,14.81%,,,,,,,,,,
com.amaze.filemanager.ui.theme.AppThemeManager.setAppTheme(AppTheme),4,6,10,4,37.04%,,,,,,,,,,
"com.amaze.filemanager.ui.views.CheckableCircleView.CheckableCircleView(Context,AttributeSet)",0,0,4,4,11.43%,,,,,,,,,,
com.amaze.filemanager.ui.views.CheckableCircleView.onDraw(Canvas),0,0,15,15,42.86%,,,,,,,,,,
com.amaze.filemanager.ui.views.CheckableCircleView.setChecked(boolean),0,0,4,4,11.43%,,,,,,,,,,
com.amaze.filemanager.ui.views.CheckableCircleView.setColor(int),0,0,5,5,14.29%,,,,,,,,,,
"com.amaze.filemanager.ui.views.CircleGradientDrawable.CircleGradientDrawable(AppTheme,DisplayMetrics)",0,0,10,10,21.74%,,,,,,,,,,
"com.amaze.filemanager.ui.views.CircleGradientDrawable.CircleGradientDrawable(String,AppTheme,DisplayMetrics)",4,7,11,4,23.91%,,,,,,,,,,
"com.amaze.filemanager.ui.views.CircleGradientDrawable.CircleGradientDrawable(int,AppTheme,DisplayMetrics)",4,7,11,4,23.91%,,,,,,,,,,
com.amaze.filemanager.ui.views.CircleGradientDrawable.dpToPx(int),0,0,4,4,8.70%,,,,,,,,,,
com.amaze.filemanager.ui.views.CircularColorsView.CircularColorsView(Context),0,0,4,4,6.25%,,,,,,,,,,
"com.amaze.filemanager.ui.views.CircularColorsView.CircularColorsView(Context,AttributeSet)",0,0,4,4,6.25%,,,,,,,,,,
com.amaze.filemanager.ui.views.CircularColorsView.init(),0,0,6,6,9.38%,,,,,,,,,,
com.amaze.filemanager.ui.views.CircularColorsView.onDraw(Canvas),0,0,29,29,45.31%,,,,,,,,,,
"com.amaze.filemanager.ui.views.CircularColorsView.setColors(int,int,int,int)",0,0,8,8,12.50%,,,,,,,,,,
com.amaze.filemanager.ui.views.CircularColorsView.setDividerColor(int),0,0,3,3,4.69%,,,,,,,,,,
"com.amaze.filemanager.ui.views.CustomLinearSmoothScroller.CustomLinearSmoothScroller(Context,boolean)",0,0,6,6,2.05%,,,,,,,,,,
"com.amaze.filemanager.ui.views.CustomLinearSmoothScroller.calculateDtToFit(int,int,int,int,int)",4,4,28,24,9.56%,,,,,,,,,,
"com.amaze.filemanager.ui.views.CustomLinearSmoothScroller.calculateDxToMakeVisible(View,int)",5,10,22,12,7.51%,,,,,,,,,,
"com.amaze.filemanager.ui.views.CustomLinearSmoothScroller.calculateDyToMakeVisible(View,int)",5,10,22,12,7.51%,,,,,,,,,,
com.amaze.filemanager.ui.views.CustomLinearSmoothScroller.calculateSpeedPerPixel(DisplayMetrics),7,10,13,3,4.44%,,,,,,,,,,
com.amaze.filemanager.ui.views.CustomLinearSmoothScroller.calculateTimeForDeceleration(int),10,8,16,3,5.46%,,,,,,,,,,
com.amaze.filemanager.ui.views.CustomLinearSmoothScroller.calculateTimeForScrolling(int),7,7,13,3,4.44%,,,,,,,,,,
"com.amaze.filemanager.ui.views.CustomLinearSmoothScroller.clampApplyScroll(int,int)",1,0,8,8,2.73%,,,,,,,,,,
com.amaze.filemanager.ui.views.CustomLinearSmoothScroller.getHorizontalSnapPreference(),5,9,14,5,4.78%,,,,,,,,,,
com.amaze.filemanager.ui.views.CustomLinearSmoothScroller.getSpeedPerPixel(),0,0,7,7,2.39%,,,,,,,,,,
com.amaze.filemanager.ui.views.CustomLinearSmoothScroller.getVerticalSnapPreference(),5,9,14,5,4.78%,,,,,,,,,,
"com.amaze.filemanager.ui.views.CustomLinearSmoothScroller.onSeekTargetStep(int,int,State,Action)",6,1,24,19,8.19%,,,,,,,,,,
com.amaze.filemanager.ui.views.CustomLinearSmoothScroller.onStart(),1,1,3,2,1.02%,,,,,,,,,,
com.amaze.filemanager.ui.views.CustomLinearSmoothScroller.onStop(),1,1,6,5,2.05%,,,,,,,,,,
"com.amaze.filemanager.ui.views.CustomLinearSmoothScroller.onTargetFound(View,State,Action)",1,1,11,10,3.75%,,,,,,,,,,
com.amaze.filemanager.ui.views.CustomLinearSmoothScroller.updateActionForInterimTarget(Action),9,6,29,19,9.90%,,,,,,,,,,
"com.amaze.filemanager.ui.views.CustomZoomFocusChange.onFocusChange(View,boolean)",0,0,8,8,72.73%,,,,,,,,,,
"com.amaze.filemanager.ui.views.DisablableViewPager.DisablableViewPager(Context,AttributeSet)",0,0,4,4,21.05%,,,,,,,,,,
com.amaze.filemanager.ui.views.DisablableViewPager.onInterceptTouchEvent(MotionEvent),0,0,4,4,21.05%,,,,,,,,,,
com.amaze.filemanager.ui.views.DisablableViewPager.onTouchEvent(MotionEvent),0,0,4,4,21.05%,,,,,,,,,,
com.amaze.filemanager.ui.views.DisablableViewPager.setPagingEnabled(boolean),0,0,3,3,15.79%,,,,,,,,,,
"com.amaze.filemanager.ui.views.DividerItemDecoration.DividerItemDecoration(Context,boolean,boolean)",0,0,9,9,16.07%,,,,,,,,,,
"com.amaze.filemanager.ui.views.DividerItemDecoration.drawVertical(Canvas,RecyclerView)",5,4,23,18,41.07%,,,,,,,,,,
"com.amaze.filemanager.ui.views.DividerItemDecoration.getItemOffsets(Rect,View,RecyclerView,State)",1,0,10,9,17.86%,,,,,,,,,,
"com.amaze.filemanager.ui.views.DividerItemDecoration.onDraw(Canvas,RecyclerView,State)",0,0,6,6,10.71%,,,,,,,,,,
"com.amaze.filemanager.ui.views.FastScroller.FastScroller(Context,AttributeSet)",0,0,5,5,2.65%,,,,,,,,,,
"com.amaze.filemanager.ui.views.FastScroller.FastScroller(Context,AttributeSet,int)",0,0,5,5,2.65%,,,,,,,,,,
"com.amaze.filemanager.ui.views.FastScroller.ScrollListener.onScrolled(RecyclerView,int,int)",0,0,5,5,71.43%,,,,,,,,,,
com.amaze.filemanager.ui.views.FastScroller.computeHandlePosition(),1,0,16,16,8.47%,,,,,,,,,,
com.amaze.filemanager.ui.views.FastScroller.getHeightMinusPadding(),0,0,3,3,1.59%,,,,,,,,,,
com.amaze.filemanager.ui.views.FastScroller.getRelativeTouchPosition(MotionEvent),0,0,4,4,2.12%,,,,,,,,,,
com.amaze.filemanager.ui.views.FastScroller.initialise(Context),0,0,10,10,5.29%,,,,,,,,,,
com.amaze.filemanager.ui.views.FastScroller.invalidateVisibility(),0,0,10,10,5.29%,,,,,,,,,,
com.amaze.filemanager.ui.views.FastScroller.isRecyclerViewScrollable(),0,0,7,7,3.70%,,,,,,,,,,
com.amaze.filemanager.ui.views.FastScroller.onTouchEvent(MotionEvent),2,0,21,19,11.11%,,,,,,,,,,
com.amaze.filemanager.ui.views.FastScroller.onTouchListener.onTouch(),0,n/a,n/a,1,33.33%,,,,,,,,,,
com.amaze.filemanager.ui.views.FastScroller.registerOnTouchListener(onTouchListener),0,0,3,3,1.59%,,,,,,,,,,
"com.amaze.filemanager.ui.views.FastScroller.resolveColor(Context,int)",0,0,6,6,3.17%,,,,,,,,,,
com.amaze.filemanager.ui.views.FastScroller.setHandlePosition1(float),0,0,7,7,3.70%,,,,,,,,,,
com.amaze.filemanager.ui.views.FastScroller.setPressedHandleColor(int),0,0,25,25,13.23%,,,,,,,,,,
"com.amaze.filemanager.ui.views.FastScroller.setRecyclerView(RecyclerView,int)",0,0,18,18,9.52%,,,,,,,,,,
com.amaze.filemanager.ui.views.FastScroller.setRecyclerViewPosition(float),0,0,7,7,3.70%,,,,,,,,,,
com.amaze.filemanager.ui.views.FastScroller.setUpBarBackground(),0,0,12,12,6.35%,,,,,,,,,,
com.amaze.filemanager.ui.views.FastScroller.updateHandlePosition(),0,0,3,3,1.59%,,,,,,,,,,
"com.amaze.filemanager.ui.views.FastScroller.updateHandlePosition(int,int)",0,0,7,7,3.70%,,,,,,,,,,
com.amaze.filemanager.ui.views.Indicator.Indicator(Context),0,0,3,3,0.45%,,,,,,,,,,
"com.amaze.filemanager.ui.views.Indicator.Indicator(Context,AttributeSet)",0,0,3,3,0.45%,,,,,,,,,,
"com.amaze.filemanager.ui.views.Indicator.Indicator(Context,AttributeSet,int)",3,0,34,31,5.14%,,,,,,,,,,
com.amaze.filemanager.ui.views.Indicator.LeftwardStartPredicate.LeftwardStartPredicate(float),0,0,3,3,33.33%,,,,,,,,,,
com.amaze.filemanager.ui.views.Indicator.LeftwardStartPredicate.shouldStart(float),0,0,3,3,33.33%,,,,,,,,,,
"com.amaze.filemanager.ui.views.Indicator.PendingRetreatAnimator.PendingRetreatAnimator(int,int,int,StartPredicate)",15,0,81,68,92.05%,,,,,,,,,,
